,Q1 2000,Q2 2000,Q3 2000,Q4 2000,Q1 2001,Q2 2001,Q3 2001,Q4 2001,Q1 2002,Q2 2002,Q3 2002,Q4 2002,Q1 2003,Q2 2003,Q3 2003,Q4 2003,Q1 2004,Q2 2004,Q3 2004,Q4 2004,Q1 2005,Q2 2005,Q3 2005,Q4 2005,Q1 2006,Q2 2006,Q3 2006,Q4 2006,Q1 2007,Q2 2007,Q3 2007,Q4 2007,Q1 2008,Q2 2008,Q3 2008,Q4 2008,Q1 2009,Q2 2009,Q3 2009,Q4 2009,Q1 2010,Q2 2010,Q3 2010,Q4 2010,Q1 2011,Q2 2011,Q3 2011,Q4 2011,Q1 2012,Q2 2012,Q3 2012,Q4 2012,Q1 2013,Q2 2013,Q3 2013,Q4 2013,Q1 2014,Q2 2014,Q3 2014,Q4 2014,Q1 2015,Q2 2015,Q3 2015,Q4 2015,Q1 2016,Q2 2016,Q3 2016,Q4 2016,Q1 2017,Q2 2017,Q3 2017,Q4 2017,Q1 2018,Q2 2018
China,0.022 ,0.022 ,0.021 ,0.020 ,0.018 ,0.018 ,0.018 ,0.020 ,0.021 ,0.020 ,0.019 ,0.022 ,0.020 ,0.019 ,0.019 ,0.019 ,0.018 ,0.016 ,0.015 ,0.013 ,0.012 ,0.012 ,0.012 ,0.012 ,0.013 ,0.012 ,0.012 ,0.011 ,0.010 ,0.009 ,0.010 ,0.010 ,0.011 ,0.010 ,0.009 ,0.009 ,0.009 ,0.015 ,0.015 ,0.015 ,0.015 ,0.017 ,0.016 ,0.016 ,0.016 ,0.016 ,0.017 ,0.016 ,0.017 ,0.016 ,0.018 ,0.017 ,0.015 ,0.011 ,0.012 ,0.011 ,0.011 ,0.011 ,0.010 ,0.010 ,0.011 ,0.017 ,0.017 ,0.018 ,0.022 ,0.023 ,0.024 ,0.022 ,0.024 ,0.023 ,0.024 ,0.024 ,0.024 ,0.023 
France,0.412 ,0.407 ,0.420 ,0.419 ,0.398 ,0.417 ,0.447 ,0.459 ,0.496 ,0.511 ,0.513 ,0.543 ,0.542 ,0.533 ,0.560 ,0.573 ,0.587 ,0.557 ,0.554 ,0.542 ,0.545 ,0.555 ,0.590 ,0.627 ,0.646 ,0.628 ,0.586 ,0.564 ,0.566 ,0.564 ,0.561 ,0.604 ,0.608 ,0.624 ,0.634 ,0.675 ,0.742 ,0.717 ,0.633 ,0.646 ,0.645 ,0.681 ,0.662 ,0.664 ,0.649 ,0.662 ,0.710 ,0.711 ,0.726 ,0.716 ,0.732 ,0.705 ,0.704 ,0.645 ,0.655 ,0.650 ,0.656 ,0.651 ,0.653 ,0.656 ,0.648 ,0.647 ,0.621 ,0.601 ,0.629 ,0.654 ,0.654 ,0.615 ,0.642 ,0.636 ,0.633 ,0.649 ,0.634 ,0.598 
Germany,0.333 ,0.351 ,0.346 ,0.350 ,0.350 ,0.371 ,0.376 ,0.374 ,0.391 ,0.409 ,0.408 ,0.429 ,0.413 ,0.427 ,0.452 ,0.476 ,0.480 ,0.466 ,0.486 ,0.496 ,0.493 ,0.506 ,0.523 ,0.556 ,0.596 ,0.610 ,0.608 ,0.625 ,0.636 ,0.623 ,0.647 ,0.674 ,0.684 ,0.681 ,0.686 ,0.689 ,0.702 ,0.695 ,0.640 ,0.665 ,0.670 ,0.690 ,0.696 ,0.712 ,0.708 ,0.714 ,0.726 ,0.714 ,0.728 ,0.719 ,0.739 ,0.728 ,0.723 ,0.663 ,0.688 ,0.661 ,0.678 ,0.684 ,0.670 ,0.678 ,0.678 ,0.676 ,0.671 ,0.663 ,0.689 ,0.699 ,0.701 ,0.676 ,0.694 ,0.690 ,0.695 ,0.702 ,0.703 ,0.696 
India,0.082 ,0.088 ,0.087 ,0.077 ,0.069 ,0.070 ,0.073 ,0.065 ,0.063 ,0.062 ,0.058 ,0.056 ,0.050 ,0.048 ,0.048 ,0.046 ,0.043 ,0.038 ,0.040 ,0.038 ,0.035 ,0.036 ,0.038 ,0.043 ,0.044 ,0.043 ,0.042 ,0.041 ,0.038 ,0.035 ,0.034 ,0.035 ,0.035 ,0.034 ,0.035 ,0.039 ,0.042 ,0.040 ,0.041 ,0.069 ,0.071 ,0.080 ,0.079 ,0.084 ,0.084 ,0.085 ,0.093 ,0.092 ,0.100 ,0.098 ,0.106 ,0.099 ,0.096 ,0.075 ,0.084 ,0.072 ,0.075 ,0.073 ,0.069 ,0.067 ,0.062 ,0.058 ,0.057 ,0.054 ,0.061 ,0.064 ,0.063 ,0.057 ,0.060 ,0.057 ,0.057 ,0.056 ,0.056 ,0.056 
Italy,0.461 ,0.480 ,0.452 ,0.458 ,0.440 ,0.450 ,0.478 ,0.472 ,0.502 ,0.507 ,0.488 ,0.489 ,0.448 ,0.451 ,0.466 ,0.519 ,0.530 ,0.496 ,0.542 ,0.552 ,0.551 ,0.569 ,0.596 ,0.613 ,0.644 ,0.652 ,0.647 ,0.660 ,0.658 ,0.635 ,0.664 ,0.698 ,0.714 ,0.692 ,0.669 ,0.649 ,0.669 ,0.662 ,0.623 ,0.652 ,0.661 ,0.680 ,0.682 ,0.699 ,0.692 ,0.712 ,0.722 ,0.710 ,0.726 ,0.713 ,0.732 ,0.721 ,0.716 ,0.649 ,0.671 ,0.652 ,0.667 ,0.670 ,0.659 ,0.666 ,0.669 ,0.660 ,0.650 ,0.640 ,0.680 ,0.694 ,0.691 ,0.668 ,0.683 ,0.669 ,0.675 ,0.675 ,0.678 ,0.664 
Japan,0.022 ,0.020 ,0.019 ,0.019 ,0.018 ,0.018 ,0.018 ,0.017 ,0.018 ,0.018 ,0.017 ,0.018 ,0.017 ,0.016 ,0.016 ,0.015 ,0.013 ,0.012 ,0.012 ,0.013 ,0.013 ,0.013 ,0.014 ,0.015 ,0.017 ,0.017 ,0.017 ,0.017 ,0.018 ,0.018 ,0.019 ,0.021 ,0.023 ,0.023 ,0.022 ,0.021 ,0.022 ,0.023 ,0.023 ,0.025 ,0.026 ,0.029 ,0.029 ,0.032 ,0.032 ,0.033 ,0.033 ,0.029 ,0.032 ,0.031 ,0.034 ,0.032 ,0.031 ,0.024 ,0.026 ,0.023 ,0.025 ,0.025 ,0.024 ,0.024 ,0.023 ,0.023 ,0.022 ,0.021 ,0.024 ,0.026 ,0.026 ,0.023 ,0.025 ,0.024 ,0.025 ,0.025 ,0.026 ,0.024 
Netherlands,0.451 ,0.486 ,0.447 ,0.455 ,0.448 ,0.478 ,0.475 ,0.465 ,0.472 ,0.509 ,0.474 ,0.499 ,0.483 ,0.478 ,0.473 ,0.482 ,0.508 ,0.483 ,0.507 ,0.505 ,0.488 ,0.499 ,0.547 ,0.561 ,0.581 ,0.566 ,0.556 ,0.547 ,0.567 ,0.573 ,0.598 ,0.619 ,0.615 ,0.627 ,0.603 ,0.599 ,0.620 ,0.611 ,0.501 ,0.545 ,0.543 ,0.583 ,0.575 ,0.600 ,0.579 ,0.589 ,0.610 ,0.598 ,0.609 ,0.602 ,0.611 ,0.597 ,0.592 ,0.520 ,0.542 ,0.512 ,0.538 ,0.543 ,0.541 ,0.552 ,0.573 ,0.571 ,0.558 ,0.546 ,0.612 ,0.633 ,0.645 ,0.628 ,0.640 ,0.656 ,0.660 ,0.663 ,0.672 ,0.668 
Russia,0.247 ,0.152 ,0.130 ,0.123 ,0.111 ,0.099 ,0.101 ,0.104 ,0.111 ,0.090 ,0.088 ,0.089 ,0.074 ,0.066 ,0.077 ,0.067 ,0.063 ,0.056 ,0.054 ,0.043 ,0.038 ,0.036 ,0.036 ,0.035 ,0.035 ,0.030 ,0.028 ,0.027 ,0.025 ,0.021 ,0.024 ,0.025 ,0.027 ,0.024 ,0.025 ,0.034 ,0.041 ,0.040 ,0.046 ,0.052 ,0.054 ,0.062 ,0.065 ,0.074 ,0.075 ,0.077 ,0.086 ,0.087 ,0.093 ,0.092 ,0.101 ,0.095 ,0.096 ,0.074 ,0.083 ,0.079 ,0.089 ,0.097 ,0.099 ,0.121 ,0.133 ,0.133 ,0.131 ,0.131 ,0.150 ,0.162 ,0.165 ,0.158 ,0.169 ,0.166 ,0.173 ,0.177 ,0.176 ,0.171 
Switzerland,0.434 ,0.437 ,0.418 ,0.398 ,0.396 ,0.402 ,0.397 ,0.379 ,0.391 ,0.374 ,0.355 ,0.348 ,0.324 ,0.311 ,0.322 ,0.314 ,0.301 ,0.286 ,0.275 ,0.255 ,0.244 ,0.331 ,0.350 ,0.370 ,0.405 ,0.412 ,0.402 ,0.408 ,0.420 ,0.412 ,0.399 ,0.408 ,0.415 ,0.408 ,0.396 ,0.392 ,0.380 ,0.290 ,0.280 ,0.270 ,0.230 ,0.163 ,0.162 ,0.174 ,0.172 ,0.173 ,0.146 ,0.155 ,0.170 ,0.120 ,0.113 ,0.104 ,0.102 ,0.078 ,0.084 ,0.075 ,0.079 ,0.079 ,0.077 ,0.074 ,0.068 ,0.065 ,0.062 ,0.059 ,0.064 ,0.065 ,0.063 ,0.056 ,0.057 ,0.054 ,0.054 ,0.053 ,0.054 ,0.052 
Taiwan,0.032 ,0.033 ,0.032 ,0.034 ,0.031 ,0.033 ,0.033 ,0.030 ,0.031 ,0.028 ,0.027 ,0.028 ,0.026 ,0.026 ,0.027 ,0.027 ,0.025 ,0.023 ,0.024 ,0.024 ,0.023 ,0.023 ,0.025 ,0.027 ,0.030 ,0.031 ,0.030 ,0.031 ,0.033 ,0.032 ,0.037 ,0.040 ,0.042 ,0.042 ,0.041 ,0.039 ,0.040 ,0.039 ,0.039 ,0.041 ,0.041 ,0.045 ,0.045 ,0.048 ,0.048 ,0.049 ,0.054 ,0.051 ,0.054 ,0.053 ,0.057 ,0.053 ,0.051 ,0.038 ,0.042 ,0.038 ,0.040 ,0.041 ,0.038 ,0.038 ,0.038 ,0.036 ,0.034 ,0.033 ,0.037 ,0.040 ,0.040 ,0.035 ,0.037 ,0.037 ,0.038 ,0.037 ,0.038 ,0.036 
United States,0.548 ,0.570 ,0.565 ,0.559 ,0.559 ,0.568 ,0.562 ,0.557 ,0.583 ,0.567 ,0.567 ,0.572 ,0.559 ,0.562 ,0.581 ,0.592 ,0.599 ,0.591 ,0.603 ,0.600 ,0.622 ,0.636 ,0.673 ,0.713 ,0.737 ,0.738 ,0.740 ,0.751 ,0.757 ,0.755 ,0.770 ,0.786 ,0.790 ,0.790 ,0.792 ,0.773 ,0.789 ,0.776 ,0.679 ,0.704 ,0.715 ,0.741 ,0.737 ,0.752 ,0.746 ,0.742 ,0.755 ,0.745 ,0.759 ,0.751 ,0.766 ,0.757 ,0.755 ,0.698 ,0.717 ,0.702 ,0.717 ,0.719 ,0.716 ,0.726 ,0.741 ,0.737 ,0.727 ,0.722 ,0.749 ,0.760 ,0.756 ,0.738 ,0.751 ,0.745 ,0.748 ,0.750 ,0.750 ,0.741 